Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
1198,"MOŠKOŘ, E.",Lašské nářečí z Frýdecka a jeho poměr k jazyku československému a polskému.,,Studentská práce,1932,1932,,Frýdecko-Místecko,"Praha, 1932.",Bara
1199,"MUK, J.",Jindřichův Hradec JH.,,Excerpta,1972,1972,Jindřichův Hradec JH,,1972.,Bara
1200,"MÜLLER, P.",Prostějov PV.,,Excerpta,1968,1968,Prostějov PV,,1968.,Bara
1201,"MYSLIVEC, F.",Domácí léčení našich předků.,Věstník Matice opavské,Článek v časopise,1925–1926,1925,,,"Věstník Matice opavské. 1925–1926, č. 31–32, s. 81–88.",Bara
1202,"MYSLIVEC, F.",Lidopisné paběrky z Hlučínska.,Věstník Matice opavské,Článek v časopise,1924,1924,,,"Věstník Matice opavské. 1924, č. 30, s. 81–86.",Bara
1203,"MYSLIVEC, F.",Moravci jako prostonárodní lékaři.,Věstník Matice opavské,Článek v časopise,1923,1923,,,"Věstník Matice opavské. 1923, č. 29, s. 78–79.",Bara
1204,"MYSLIVEC, F.",Národní kroj slezský na Klimkovsku.,Věstník Matice opavské,Článek v časopise,1896,1896,Klimkovice NJ,,"Věstník Matice opavské. 1896, č. 6, s. 18–20.",Bara
1205,"MYSLIVEC, F.",Naše Hrabyně.,Věstník Matice opavské,Článek v časopise,1925–1926,1925,Hrabyně OP,,"Věstník Matice opavské. 1925–1926, č. 31–32, s. 2.",Bara
1206,"MYSLIVEC, F.",O mlynářích Malo-Lhotských.,Věstník Matice opavské,Článek v časopise,1895,1895,,,"Věstník Matice opavské. 1895, č. 5, s. 8–10.",Bara
1207,"MYSLIVEC, F.",Starý způsob hospodářství na Opavsku.,,Kniha,1933,1933,,Opavsko,"Praha: Československé Zemědělské Museum, 1933.",Bara
1208,"MYSLIVEC, F.",Z Klimkovska.,Věstník Matice opavské,Článek v časopise,1924,1924,Klimkovice NJ,,"Věstník Matice opavské. 1924, č. 30, s. 27–29.",Bara
1209,"NAŠINEC, V.",Paseky PI.,,Excerpta,1961,1961,Paseky PI,,1961.,Bara
1210,"NAŠINEC, V.",Paseky PI.,,Excerpta,1963,1963,Paseky PI,,1963.,Bara
1211,"NAŠINEC, V.",Paseky PI.,,Excerpta,1964,1964,Paseky PI,,1964.,Bara
1212,"NAŠINEC, V.",Paseky PI.,,Excerpta,1965,1965,Paseky PI,,1965.,Bara
1213,"NAŠINEC, V.",Paseky PI.,,Excerpta,1966,1966,Paseky PI,,1966.,Bara
1214,"NAŠINEC, V.",Paseky PI.,,Excerpta,1967,1967,Paseky PI,,1967.,Bara
1215,"NAŠINEC, V.",Paseky PI.,,Excerpta,1968,1968,Paseky PI,,1968.,Bara
1216,"NAŠINEC, V.",Paseky PI.,,Excerpta,1969,1969,Paseky PI,,1969.,Bara
1217,"NAŠINEC, V.",Paseky PI.,,Excerpta,1970,1970,Paseky PI,,1970.,Bara
1218,"NAŠINEC, V.",Paseky PI.,,Excerpta,1972,1972,Paseky PI,,1972.,Bara
1219,"NEJEDLÁ, J.",Humor z Valašska.,,Kniha,1929,1929,Rožnov pod Radhoštěm VS,,"Vyškov: F. Obzina, 1929.",Texty a slovníky
1220,"NEORAL, J.",Příspěvek ku dialektologii moravské I.,Výroční zpráva C. k. vyšší realní školy v Brně vydaná ředitelem na konci školního roku 1882–83,Článek ve sborníku,1883,1883,Bohuslavice SU,,"In: Výroční zpráva C. k. vyšší realní školy v Brně vydaná ředitelem na konci školního roku 1882–83. Brno: C. k. vyšší realní škola, 1883, s. 3–16.",Excely; Texty a slovníky
1221,"NEORAL, J.",Příspěvek ku dialektologii moravské II.,Třetí výroční zpráva C. k. vyšší realní školy v Brně vydaná ředitelem na konci školního roku 1883–84,Článek ve sborníku,1884,1884,Bohuslavice SU,,"In: Třetí výroční zpráva C. k. vyšší realní školy v Brně vydaná ředitelem na konci školního roku 1883–84. Brno: C. k. vyšší realní škola, 1884, s. 3–13.",Excely; Texty a slovníky
1222,"NESRSTOVÁ, M.",Diferenční slovní zásoba nářečí Javorníka.,,Studentská práce,1989,1989,Javorník HO,,"Brno, 1989.",Bara
1223,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1961,1961,Žďár PI (Žďárské Chalupy),,1961.,Bara
1224,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1963,1963,Žďár PI (Žďárské Chalupy),,1963.,Bara
1225,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1964,1964,Žďár PI (Žďárské Chalupy),,1964.,Bara
1226,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1966,1966,Žďár PI (Žďárské Chalupy),,1966.,Bara
1227,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1967,1967,Žďár PI (Žďárské Chalupy),,1967.,Bara
1228,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1968,1968,Žďár PI (Žďárské Chalupy),,1968.,Bara
1229,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1969,1969,Žďár PI (Žďárské Chalupy),,1969.,Bara
1230,"NEUBAUEROVÁ, M.",[Malé Chalupy] Žďár PI (Žďárské Chalupy).,,Excerpta,1970,1970,Žďár PI (Žďárské Chalupy),,1970.,Bara
1231,"NEUBAUEROVÁ, M.",Hluboká nad Vltavou CB.,,Excerpta,1972,1972,Hluboká nad Vltavou CB,,1972.,Bara
1232,"NEUDOERFL, J. V.",Na svatou Kateřinu.,Český lid,Článek v časopise,1900,1900,,,"Český lid. 1900, roč. 9, s. 83–84.",Bara
1233,"NIMSHAUSOVÁ, O.",Nářeční slovní zásoba na Vysokomýtsku se zřetelem k řemeslnické terminologii.,,Studentská práce,2008,2008,Vysoké Mýto UO,,"Brno, 2008.",Excely
1234,"NOHÁČ, J.",Slovácké nářečí na Podluží.,Český lid,Článek v časopise,1911,1911,,,"Český lid. 1911, roč. 20, s. 213–2018",Bara
1235,"NOVÁČKOVÁ, M.",Kutná Hora KH.,,Excerpta,1961,1961,Kutná Hora KH,,1961.,Bara
1236,"NOVÁČKOVÁ, M.",Kutná Hora KH.,,Excerpta,1963,1963,Kutná Hora KH,,1963.,Bara
1237,"NOVÁČKOVÁ, M.",Kutná Hora KH.,,Excerpta,1964,1964,Kutná Hora KH,,1964.,Bara
1238,"NOVÁČKOVÁ, M.",Kutná Hora KH.,,Excerpta,1965,1965,Kutná Hora KH,,1965.,Bara
1239,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1963,1963,Líšnice PZ,,1963.,Bara
1240,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1964,1964,Líšnice PZ,,1964.,Bara
1241,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1965,1965,Líšnice PZ,,1965.,Bara
1242,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1966,1966,Líšnice PZ,,1966.,Bara
1243,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1967,1967,Líšnice PZ,,1967.,Bara
1244,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1968,1968,Líšnice PZ,,1968.,Bara
1245,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1969,1969,Líšnice PZ,,1969.,Bara
1246,"NOVÁK, J.",Líšnice PZ.,,Excerpta,1970,1970,Líšnice PZ,,1970.,Bara
1247,"NOVÁK, V.",Nymburk NB.,,Excerpta,1957,1957,Nymburk NB,,1957.,Bara
1248,"NOVÁK, V.",Nymburk NB.,,Excerpta,1958,1958,Nymburk NB,,1958.,Bara
1249,"NOVÁK, V.",Nymburk NB.,,Excerpta,1961,1961,Nymburk NB,,1961.,Bara
1250,"NOVÁK, V.",Nymburk NB.,,Excerpta,1963,1963,Nymburk NB,,1963.,Bara
1251,"NOVÁK, V.",Nymburk NB.,,Excerpta,1964,1964,Nymburk NB,,1964.,Bara
1252,"NOVÁK, V.",Nymburk NB.,,Excerpta,1966,1966,Nymburk NB,,1966.,Bara
1253,"NOVÁK, V.",Nymburk NB.,,Excerpta,1967,1967,Nymburk NB,,1967.,Bara
1254,"NOVÁK, V.",Nymburk NB.,,Excerpta,1968,1968,Nymburk NB,,1968.,Bara
1255,"NOVÁK, V.",Nymburk NB.,,Excerpta,1969,1969,Nymburk NB,,1969.,Bara
1256,"NOVÁK, V.",Nymburk NB.,,Excerpta,1970,1970,Nymburk NB,,1970.,Bara
1257,"NOVÁKOVÁ, E.",Březiny SY.,,Excerpta,1963,1963,Březiny SY,,1963.,Bara
1258,"NOVÁKOVÁ, E.",Březiny SY.,,Excerpta,1964,1964,Březiny SY,,1964.,Bara
1259,"NOVOTNÁ, V.","Nářeční slovník obcí Třesov, Kozlany a Studenec.",,Studentská práce,1958,1958,,,"Brno, 1958.",Bara
1260,"OBERREITEROVÁ, H.",Nářeční texty z Broumova a okolí.,,Studentská práce,1997,1997,,,"Brno, 1997.",Bara
1261,"OBROVSKÝ, J.",Vo tem Trósilovym praseti.,,Kniha,1949,1940,Brno BM (Bystrc),,"Praha: A. Hynek, 1949.",Texty a slovníky
1262,"OBŠÍVAČ, J. V.",Houby na Frenštátsku.,Český lid,Článek v časopise,1926,1926,,,"Český lid. 1926, roč. 26, s. 374–376.",Bara
1263,"ONDRÁŠ, F.",Kostelany nad Moravou UH.,,Excerpta,1964,1964,Kostelany nad Moravou UH,,1964.,Bara
1264,"ONDRÁŠ, F.",Kostelany nad Moravou UH.,,Excerpta,1966,1966,Kostelany nad Moravou UH,,1966.,Bara
1265,"ONDRÁŠ, F.",Kostelany nad Moravou UH.,,Excerpta,1968,1968,Kostelany nad Moravou UH,,1968.,Bara
1266,"ONDRÁŠ, F.",Kostelany nad Moravou UH.,,Excerpta,1969,1969,Kostelany nad Moravou UH,,1969.,Bara
1267,"ONDRÁŠ, F.",Slovník jedné oblasti nářečí dolského.,,Dizertační práce,1950,1950,Kostelany nad Moravou UH,,"Praha, 1950.",Bara
1268,"OSIČKA, A.",Popis a rozbor rodného (bilovského) nářečí s fonetickými ukázkami.,,Studentská práce,1911,1911,Velké Bílovice BV,,"Praha, 1911.",Bara
1269,"PAČESOVÁ-HOLKOVÁ, J.",Výslovnost na Jevíčsku.,,Dizertační práce,1953,1953,,,"Brno, 1953.",Texty a slovníky
1270,"PACHOLÍK, F. K.",Pou̯dačky a vhačky.,,Kniha,2011,1953,Paseky nad Jizerou SM,,"Liberec: Nakladatelství Bor, 2011. ISBN 978-80-86807-71-3.",Texty a slovníky
1271,"PAJER, J. et al.",Radějov. Minulost a současnost obce.,,Kniha,2012,1940,Radějov HO,,"Radějov: Obec Radějov, 2012.",Texty a slovníky
1272,"PALÁTOVÁ, D., ed.","Povídky lidových vypravěčů z Čech, Moravy a Slezska zaznamenané v letech 1945–1954.",,Kniha,1958,1954,,,"Praha: Orbis, 1958.",Texty a slovníky
1273,"PALOVÁ, R.",Nářečí z okolí Vsetína.,,Studentská práce,1929,1929,,Vsetínsko,"Praha, 1929.",Bara
1274,"PÁNEK, F.",Ruda nad Moravou SU (Hostice).,,Excerpta,1960,1960,Ruda nad Moravou SU (Hostice),,1960.,Bara
1275,"PÁNEK, F.",Ruda nad Moravou SU (Hostice).,,Excerpta,1961,1961,Ruda nad Moravou SU (Hostice),,1961.,Bara
1276,"PÁNEK, F.",Ruda nad Moravou SU (Hostice).,,Excerpta,1963,1963,Ruda nad Moravou SU (Hostice),,1963.,Bara
1277,"PÁNEK, F.",Ruda nad Moravou SU (Hostice).,,Excerpta,1964,1964,Ruda nad Moravou SU (Hostice),,1964.,Bara
1278,"PÁNEK, F.",Ruda nad Moravou SU (Hostice).,,Excerpta,1965,1965,Ruda nad Moravou SU (Hostice),,1965.,Bara
1279,"PANOŠOVÁ, M.",Pelhřimov PE.,,Excerpta,1961,1961,Pelhřimov PE,,1961.,Bara
1280,"PÁTA, J.","Některá rčení, pořekadla a říkačky z Litomyšle a okolí.",Český lid,Článek v časopise,1909,1909,Litomyšl SY,,"Český lid. 1909, roč. 18, s. 360–361.",Texty a slovníky
1281,"PATERMANNOVÁ, M.",Moutnice BO.,,Excerpta,1989,1989,Moutnice BO,,1989.,Bara
1282,"PAULUS, V.",Svatba v okolí Chrasti (na Chrudimsku).,Český lid,Článek v časopise,1894,1894,,,"Český lid. 1894, roč. 3, s. 484–495.",Bara
1283,"PAVELKA, F.",Praha PH (Michle).,,Excerpta,1961,1961,Praha PH (Michle),,1961.,Bara
1284,"PAVLIŠTÍK, K.","Dřevo, proutí, sláma v tradiční rukodělné výrobě na Podřevnicku.",,Kniha,2005,,,Zlínsko,"Zlín: Krajská knihovna Františka Bartoše, Muzeum jihovýchodní Moravy ve Zlíně, 2005.",Texty a slovníky
1285,"PAZDERA, A.",Vodňany ST.,,Excerpta,1972,1972,Vodňany ST,,1972.,Bara
1286,"PEK, R.",Chodské podřečí. Částečný slovník dvou generací s příspěvky k hláskosloví a tvarosloví.,,Studentská práce,1936,1936,,Chodsko,"Praha, 1936.",Bara
1287,"PEŘKA, R.",Chlum u Třeboně JH.,,Excerpta,1957,1957,Chlum u Třeboně JH,,1957.,Bara
1288,"PETÁKOVÁ, V.",Chvojenec PA.,,Excerpta,1961,1961,Chvojenec PA,,1961.,Bara
1289,"PETÁKOVÁ, V.",Chvojenec PA.,,Excerpta,1963,1963,Chvojenec PA,,1963.,Bara
1290,"PETÁKOVÁ, V.",Chvojenec PA.,,Excerpta,1964,1964,Chvojenec PA,,1964.,Bara
1291,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1953,1953,Dolní Třebonín CK,,1953.,Bara
1292,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1954,1954,Dolní Třebonín CK,,1954.,Bara
1293,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1957,1957,Dolní Třebonín CK,,1957.,Bara
1294,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1958,1958,Dolní Třebonín CK,,1958.,Bara
1295,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1963,1963,Dolní Třebonín CK,,1963.,Bara
1296,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1964,1964,Dolní Třebonín CK,,1964.,Bara
1297,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1965,1965,Dolní Třebonín CK,,1965.,Bara
1298,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1966,1966,Dolní Třebonín CK,,1966.,Bara
1299,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1967,1967,Dolní Třebonín CK,,1967.,Bara
1300,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1968,1968,Dolní Třebonín CK,,1968.,Bara
1301,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1969,1969,Dolní Třebonín CK,,1969.,Bara
1302,"PETR, J.",Dolní Třebonín CK.,,Excerpta,1970,1970,Dolní Třebonín CK,,1970.,Bara
1303,"PETR, J.",Kaplice CK.,,Excerpta,1953,1953,Kaplice CK,,1953.,Bara
1304,"PETR, J.",Kaplice CK.,,Excerpta,1954,1954,Kaplice CK,,1954.,Bara
1305,"PETR, J.",Kaplice CK.,,Excerpta,1957,1957,Kaplice CK,,1957.,Bara
1306,"PETR, J.",Kaplice CK.,,Excerpta,1958,1958,Kaplice CK,,1958.,Bara
1307,"PETR, J.",Mojné CK (Černice).,,Excerpta,1953,1953,Mojné CK (Černice),,1953.,Bara
1308,"PETR, J.",Mojné CK (Černice).,,Excerpta,1954,1954,Mojné CK (Černice),,1954.,Bara
1309,"PETR, J.",Mojné CK (Černice).,,Excerpta,1957,1957,Mojné CK (Černice),,1957.,Bara
1310,"PETR, J.",Mojné CK (Černice).,,Excerpta,1958,1958,Mojné CK (Černice),,1958.,Bara
1311,"PETR, J.",Plav CB.,,Excerpta,1953,1953,Plav CB,,1953.,Bara
1312,"PETR, J.",Plav CB.,,Excerpta,1954,1954,Plav CB,,1954.,Bara
1313,"PETR, J.",Plav CB.,,Excerpta,1957,1957,Plav CB,,1957.,Bara
1314,"PETR, J.",Plav CB.,,Excerpta,1958,1958,Plav CB,,1958.,Bara
1315,"PETR, J.",Římov CB.,,Excerpta,1953,1953,Římov CB,,1953.,Bara
1316,"PETR, J.",Římov CB.,,Excerpta,1954,1954,Římov CB,,1954.,Bara
1317,"PETR, J.",Římov CB.,,Excerpta,1957,1957,Římov CB,,1957.,Bara
1318,"PETR, J.",Římov CB.,,Excerpta,1958,1958,Římov CB,,1958.,Bara
1319,"PETR, J.",Velešín CK.,,Excerpta,1953,1953,Velešín CK,,1953.,Bara
1320,"PETR, J.",Velešín CK.,,Excerpta,1954,1954,Velešín CK,,1954.,Bara
1321,"PETR, J.",Velešín CK.,,Excerpta,1957,1957,Velešín CK,,1957.,Bara
1322,"PETR, J.",Velešín CK.,,Excerpta,1958,1958,Velešín CK,,1958.,Bara
1323,"PETR, J.",Zlatá Koruna CK (Plešovice).,,Excerpta,1953,1953,Zlatá Koruna CK (Plešovice),,1953.,Bara
1324,"PETR, J.",Zlatá Koruna CK (Plešovice).,,Excerpta,1954,1954,Zlatá Koruna CK (Plešovice),,1954.,Bara
1325,"PETR, J.",Zlatá Koruna CK (Plešovice).,,Excerpta,1957,1957,Zlatá Koruna CK (Plešovice),,1957.,Bara
1326,"PETR, J.",Zlatá Koruna CK (Plešovice).,,Excerpta,1958,1958,Zlatá Koruna CK (Plešovice),,1958.,Bara
1327,"PETR, J.",Zubčice CK (Markvartice).,,Excerpta,1953,1953,Zubčice CK (Markvartice),,1953.,Bara
1328,"PETR, J.",Zubčice CK (Markvartice).,,Excerpta,1954,1954,Zubčice CK (Markvartice),,1954.,Bara
1329,"PETR, J.",Zubčice CK (Markvartice).,,Excerpta,1957,1957,Zubčice CK (Markvartice),,1957.,Bara
1330,"PETR, J.",Zubčice CK (Markvartice).,,Excerpta,1958,1958,Zubčice CK (Markvartice),,1958.,Bara
1331,"PETRUS, J.",Ogaři a děvuchy.,,Kniha,1926,1918,Vsetín VS,,"2. vydání. Praha: B. Kočí, 1926.",Texty a slovníky
1332,"PETRUSOVÁ, B.",Kolešovice RA.,,Excerpta,1961,1961,Kolešovice RA,,1961.,Bara
1333,"PETRUSOVÁ, B.",Kolešovice RA.,,Excerpta,1963,1963,Kolešovice RA,,1963.,Bara
1334,"PILAŘOVÁ, M.",Hlinsko CR.,,Excerpta,1961,1961,Hlinsko CR,,1961.,Bara
1335,"PITÁKOVÁ, Y.",Nářeční slovník dvou obcí na Blanensku.,,Studentská práce,1957,1957,Žďár BK,,"Brno, 1957.",Bara
1336,"PITELOVÁ, M.",Nářeční řemeslnická terminologie na Vyškovsku.,,Studentská práce,2007,2007,,Vyškovsko,"Brno, 2007.",Excely
1337,"PITTNEROVÁ, V.",Ze Žďárských hor.,Český lid,Článek v časopise,1892,1892,,,"Český lid. 1892, roč. 1, s. 68–73.",Bara
1338,"PLAČEK, P. O.",Lidová mluva na Pacovsku.,Český lid,Článek v časopise,1905,1905,,,"Český lid. 1905, roč. 14, s. 50–64",Bara
1339,"PLECHAČ, R.",Chrudim CR.,,Excerpta,1963,1963,Chrudim CR,,1963.,Bara
1340,"PLECHAČ, R.",Chrudim CR.,,Excerpta,1964,1964,Chrudim CR,,1964.,Bara
1341,"PLECHAČ, R.",Chrudim CR.,,Excerpta,1965,1965,Chrudim CR,,1965.,Bara
1342,"PLECHAČ, R.",Chrudim CR.,,Excerpta,1967,1967,Chrudim CR,,1967.,Bara
1343,"PLECHAČ, R.",Chrudim CR.,,Excerpta,1970,1970,Chrudim CR,,1970.,Bara
1344,"PLECHAČ, R.",Chrudim CR.,,Excerpta,1972,1972,Chrudim CR,,1972.,Bara
1345,"PODEŠVOVÁ, H.",Za lidovými tanci.,Hlučínsko. Příroda – lid – kultura,Článek ve sborníku,1958,1958,,,"In: FICEK, V., ed. Hlučínsko. Příroda – lid – kultura. Ostrava: Krajské nakladatelství v Ostravě, 1958, s. 133–136.",Bara
1346,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1961,1961,Humpolec PE,,1961.,Bara
1347,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1963,1963,Humpolec PE,,1963.,Bara
1348,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1964,1964,Humpolec PE,,1964.,Bara
1349,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1965,1965,Humpolec PE,,1965.,Bara
1350,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1966,1966,Humpolec PE,,1966.,Bara
1351,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1967,1967,Humpolec PE,,1967.,Bara
1352,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1968,1968,Humpolec PE,,1968.,Bara
1353,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1969,1969,Humpolec PE,,1969.,Bara
1354,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1970,1970,Humpolec PE,,1970.,Bara
1355,"POKORNÝ, L.",Humpolec PE.,,Excerpta,1972,1972,Humpolec PE,,1972.,Bara
1356,"POLÁK, K.",Bezděkov KT.,,Excerpta,1963,1963,Bezděkov KT,,1963.,Bara
1357,"POLÍVKA, J., F. STAVAŘ a J. TVRDÝ.",Povídky lidu opavského a hanáckého.,,Kniha,1916,1916,,,"Praha: Nákladem České akademie císaře Františka Josefa pro vědy, slovesnost a umění, 1916.",Bara
1358,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1961,1961,Žinkovy PM,,1961.,Bara
1359,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1963,1963,Žinkovy PM,,1963.,Bara
1360,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1965,1965,Žinkovy PM,,1965.,Bara
1361,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1966,1966,Žinkovy PM,,1966.,Bara
1362,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1967,1967,Žinkovy PM,,1967.,Bara
1363,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1968,1968,Žinkovy PM,,1968.,Bara
1364,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1969,1969,Žinkovy PM,,1969.,Bara
1365,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1970,1970,Žinkovy PM,,1970.,Bara
1366,"POMAHAČ, J.",Žinkovy PM.,,Excerpta,1972,1972,Žinkovy PM,,1972.,Bara
1367,"POMAHAČOVÁ, J.",Žinkovy PM.,,Excerpta,1964,1964,Žinkovy PM,,1964.,Bara
1368,"POMYKALOVÁ, B.",Slovní zásoba nářečí v Suchově se zaměřením na slovesa.,,Studentská práce,1994,1994,Suchov HO,,"Brno, 1994.",Bara
1369,"POSPÍŠIL, V.",Lidová jména rostlin.,"Vesmír, přírodovědecký časopis",Článek v časopise,1956,1956,,,"Vesmír, přírodovědecký časopis. 1956, roč. 35, s. 316–317.",Excely
1370,"POSPÍŠILOVÁ, J., ed.",To sem čuła na vlastní oči… Tradiční vyprávění na nedašovském Závrší.,,Kniha,2016,1975,,,"2., opr. a dopl. vydání. Valašské Klobouky – Brno: Muzejní společnost ve Valašských Kloboukách ve spolupráci s Etnologickým ústavem AV ČR, v. v. i., pracoviště Brno, 2016. ISBN 978-80-905408-4-2 (Muzejní společnost ve Valašských Kloboukách). ISBN 978-80-88081-04-3 (Etnologický ústav AV ČR, Praha).",Texty a slovníky
1371,"PROCHÁZKA, J.",Drábky na Lounsku.,Český lid,Článek v časopise,1908,1908,,,"Český lid. 1908, roč. 17, s. 369–370",Bara
1372,"PROKOP, J.",Mluva lidu okresu Náchodského.,,Studentská práce,,,,,"Praha, [b. r.].",Bara
1373,"PŘIKRYL, O.",Bévalo. Obrázke z Hané.,,Kniha,1927,1927,Výšovice PV,,"Olomouc: R. Promberger, [1927].",Texty a slovníky
1374,"PŘIKRYL, O.",Dule z hroške. Obrázek z Hané okolo púlke XIX. století.,,Kniha,1928,1928,Výšovice PV,,"Brno: Národní noviny, 1928.",Bara
1375,"PŘIKRYL, O.",Komurka. Stréc Karásek.,,Kniha,1929,1929,Výšovice PV,,"Olomouc: R. Promberger, 1929.",Texty a slovníky
1376,"PŘIKRYL, O.",Ondřeji a inši obrázke z Hané.,,Kniha,1925,1925,Výšovice PV,,"Olomouc: R. Promberger, 1925.",Texty a slovníky
1377,"PŘIKRYL, O.",Stréc dedektiv a inši řikačke z Hané,,Kniha,1932,1932,Výšovice PV,,"Prostějov: Hlasy z Hané, 1932.",Texty a slovníky
1378,"PŘIKRYL, Z. et al.",Hanácky názvoslovi.,,Kniha,2006,2006,,,"Těšetice: Mikroregion Kosířsko, 2006. ISBN 80-239-8895-6.",Excely
1379,"PSŮTKOVÁ, Z.",Chodov. Monografie o jedné chodské vsi.,,Studentská práce,1952,1952,Chodov DO,,"Praha, 1952.",Texty a slovníky
1380,"PUSTINA, A.",Humpolec PE.,,Excerpta,1961,1961,Humpolec PE,,1961.,Bara
1381,"PUTSCHÖGL, A.",Nářečí blatské.,,Studentská práce,,,,Blata,"Praha, [b. r.].",Bara
1382,"RÁB, A.",Hanka v Praze. Slezská romance.,,Kniha,1922,1922,Opava OP (Suché Lazce),,"Opava; Košice: Vlastním nákladem, 1922.",Bara
1383,"RADVAN, E.",Nářečí městečka Ždánic.,,Studentská práce,,,Ždánice HO,,"Brno, [b. r.].",Bara
1384,"RAUSCH, A.",Jindřichův Hradec JH.,,Excerpta,1956,1956,Jindřichův Hradec JH,,1956.,Bara
1385,"RAUSCH, A.",Jindřichův Hradec JH.,,Excerpta,1957,1957,Jindřichův Hradec JH,,1957.,Bara
1386,"RAUSCH, A.",Kamenný Malíkov JH.,,Excerpta,1956,1956,Kamenný Malíkov JH,,1956.,Bara
1387,"RAUSCH, A.",Kamenný Malíkov JH.,,Excerpta,1957,1957,Kamenný Malíkov JH,,1957.,Bara
1388,"RAUSCH, A.",Plavsko JH.,,Excerpta,1956,1956,Plavsko JH,,1956.,Bara
1389,"RAUSCH, A.",Plavsko JH.,,Excerpta,1957,1957,Plavsko JH,,1957.,Bara
1390,"RAZIMOVÁ, M.",Pelhřimov PE.,,Excerpta,1963,1963,Pelhřimov PE,,1963.,Bara
1391,"REMEŠ, M.",Příborsko.,,Excerpta,1930,1930,,Příborsko,1930.,Bara
1392,"RINGLOVÁ, N.",Nářeční slovník obce Přemyslovic.,,Studentská práce,1969,1969,Přemyslovice PV,,"Brno, 1969.",Bara
1393,"ROBL, R.",Albrechtice nad Orlicí RK.,,Excerpta,1957,1957,Albrechtice nad Orlicí RK,,1957.,Bara
1394,"ROBL, R.",Bukovka PA (Habřinka).,,Excerpta,1957,1957,Bukovka PA (Habřinka),,1957.,Bara
1395,"ROBL, R.",Bukovka PA.,,Excerpta,1957,1957,Bukovka PA,,1957.,Bara
1396,"ROBL, R.",Dolní Roveň PA (Horní Roveň).,,Excerpta,1957,1957,Dolní Roveň PA (Horní Roveň),,1957.,Bara
1397,"ROBL, R.",Dolní Roveň PA.,,Excerpta,1957,1957,Dolní Roveň PA,,1957.,Bara
1398,"ROBL, R.",Dubany PA.,,Excerpta,1957,1957,Dubany PA,,1957.,Bara
1399,"ROBL, R.",Holice PA.,,Excerpta,1957,1957,Holice PA,,1957.,Bara
1400,"ROBL, R.",Chvojenec PA.,,Excerpta,1957,1957,Chvojenec PA,,1957.,Bara
1401,"ROBL, R.",Kasalice PA (Kasaličky).,,Excerpta,1957,1957,Kasalice PA (Kasaličky),,1957.,Bara
